MIN,FG_PCT,BLK,PF,OREB,REB,Jogador,Rookie
31.358,0.572,1.147,2.991,3.394,10.688,Deandre Ayton,Novato
26.333,0.622,1.413,2.307,2.713,8.953,Jarrett Allen,Novato
27.691,0.453,1.618,4.029,1.059,4.765,Jaren Jackson Jr.,Novato
17.322,0.44,0.411,2.889,0.922,4.056,Moritz Wagner,Novato
27.124,0.51,0.804,3.175,2.794,8.742,Wendell Carter Jr.,Novato
32.055,0.486,1.835,3.307,2.386,12.291,Joel Embiid,Veterano
30.236,0.535,0.784,2.878,2.75,10.277,Nikola Jokic,Veterano
32.634,0.511,0.94,2.888,3.418,11.515,Nikola Vucevic,Veterano
36.311,0.544,1.329,3.207,3.256,12.311,Karl-Anthony Towns,Veterano
28.071,0.569,1.026,2.5,2.214,8.649,Bam Adebayo,Veterano
28.594,0.593,2.266,2.364,3.308,10.091,Rudy Gobert,Veterano
